PART ONE: 7,3,5,7,5,7,4,3,0
213 => 3,1,0
214 => 7,1,0
215 => 1,1,0
216 => 5,0,0
217 => 7,0,0
218 => 0,0,0
219 => 3,0,0
220 => 1,0,0
221 => 3,0,0
222 => 6,0,0
223 => 3,0,0
224 => 4,1,0
225 => 4,1,0
226 => 0,1,0
227 => 3,1,0
228 => 5,1,0
229 => 3,1,0
230 => 1,1,0
231 => 5,1,0
232 => 4,3,0
233 => 4,3,0
234 => 0,3,0
235 => 3,3,0
236 => 1,3,0
237 => 3,3,0
238 => 0,3,0
239 => 7,3,0
240 => 4,6,0
241 => 5,6,0
242 => 0,6,0
243 => 3,6,0
244 => 5,6,0
245 => 3,6,0
246 => 3,6,0
247 => 1,6,0
248 => 4,3,0
249 => 5,3,0
250 => 0,3,0
251 => 3,3,0
252 => 1,3,0
253 => 3,3,0
254 => 2,3,0
255 => 3,3,0
256 => 3,2,5
257 => 2,2,5
258 => 3,2,5
259 => 4,2,5
260 => 5,2,5
261 => 3,2,5
262 => 5,2,5
263 => 5,2,5
264 => 3,0,5
265 => 2,0,5
266 => 3,0,5
267 => 4,0,5
268 => 1,0,5
269 => 3,0,5
270 => 4,0,5
271 => 7,0,5
272 => 3,1,5
273 => 3,1,5
274 => 3,1,5
275 => 4,1,5
276 => 5,1,5
277 => 3,1,5
278 => 7,1,5
279 => 1,1,5
280 => 3,0,5
281 => 3,0,5
282 => 3,0,5
283 => 4,0,5
284 => 1,0,5
285 => 3,0,5
286 => 6,0,5
287 => 3,0,5
288 => 2,5,5
289 => 0,5,5
290 => 3,5,5
291 => 4,5,5
292 => 5,5,5
293 => 3,5,5
294 => 1,5,5
295 => 5,5,5
296 => 2,3,5
297 => 0,3,5
298 => 3,3,5
299 => 4,3,5
300 => 1,3,5
301 => 3,3,5
302 => 0,3,5
303 => 7,3,5
304 => 2,1,5
305 => 1,1,5
306 => 3,1,5
307 => 4,1,5
308 => 5,1,5
309 => 3,1,5
310 => 3,1,5
311 => 1,1,5
312 => 2,5,5
313 => 1,5,5
314 => 3,5,5
315 => 4,5,5
316 => 1,5,5
317 => 3,5,5
318 => 2,5,5
319 => 3,5,5
320 => 1,2,3
321 => 6,2,3
322 => 3,2,3
323 => 5,2,3
324 => 5,2,3
325 => 3,2,3
326 => 5,2,3
327 => 5,2,3
328 => 1,0,3
329 => 6,0,3
330 => 3,0,3
331 => 5,0,3
332 => 1,0,3
333 => 3,0,3
334 => 4,0,3
335 => 7,0,3
336 => 1,1,3
337 => 7,1,3
338 => 3,1,3
339 => 5,1,3
340 => 5,1,3
341 => 3,1,3
342 => 7,1,3
343 => 1,1,3
344 => 1,0,3
345 => 7,0,3
346 => 3,0,3
347 => 5,0,3
348 => 1,0,3
349 => 3,0,3
350 => 6,0,3
351 => 3,0,3
352 => 0,1,3
353 => 4,1,3
354 => 3,1,3
355 => 5,1,3
356 => 5,1,3
357 => 3,1,3
358 => 1,1,3
359 => 5,1,3
360 => 0,3,3
361 => 4,3,3
362 => 3,3,3
363 => 5,3,3
364 => 1,3,3
365 => 3,3,3
366 => 0,3,3
367 => 7,3,3
368 => 0,0,3
369 => 5,0,3
370 => 3,0,3
371 => 5,0,3
372 => 5,0,3
373 => 3,0,3
374 => 3,0,3
375 => 1,0,3
376 => 0,7,3
377 => 5,7,3
378 => 3,7,3
379 => 5,7,3
380 => 1,7,3
381 => 3,7,3
382 => 2,7,3
383 => 3,7,3
384 => 7,2,5
385 => 2,2,5
386 => 2,2,5
387 => 6,2,5
388 => 5,2,5
389 => 3,2,5
390 => 5,2,5
391 => 5,2,5
392 => 7,1,5
393 => 2,1,5
394 => 2,1,5
395 => 6,1,5
396 => 1,1,5
397 => 3,1,5
398 => 4,1,5
399 => 7,1,5
400 => 7,1,5
401 => 3,1,5
402 => 2,1,5
403 => 6,1,5
404 => 5,1,5
405 => 3,1,5
406 => 7,1,5
407 => 1,1,5
408 => 7,0,5
409 => 3,0,5
410 => 2,0,5
411 => 6,0,5
412 => 1,0,5
413 => 3,0,5
414 => 6,0,5
415 => 3,0,5
416 => 6,5,5
417 => 0,5,5
418 => 2,5,5
419 => 6,5,5
420 => 5,5,5
421 => 3,5,5
422 => 1,5,5
423 => 5,5,5
424 => 6,3,5
425 => 0,3,5
426 => 2,3,5
427 => 6,3,5
428 => 1,3,5
429 => 3,3,5
430 => 0,3,5
431 => 7,3,5
432 => 6,3,5
433 => 1,3,5
434 => 2,3,5
435 => 6,3,5
436 => 5,3,5
437 => 3,3,5
438 => 3,3,5
439 => 1,3,5
440 => 6,1,5
441 => 1,1,5
442 => 2,1,5
443 => 6,1,5
444 => 1,1,5
445 => 3,1,5
446 => 2,1,5
447 => 3,1,5
448 => 5,2,5
449 => 6,2,5
450 => 2,2,5
451 => 7,2,5
452 => 5,2,5
453 => 3,2,5
454 => 5,2,5
455 => 5,2,5
456 => 5,1,5
457 => 6,1,5
458 => 2,1,5
459 => 7,1,5
460 => 1,1,5
461 => 3,1,5
462 => 4,1,5
463 => 7,1,5
464 => 5,1,5
465 => 7,1,5
466 => 2,1,5
467 => 7,1,5
468 => 5,1,5
469 => 3,1,5
470 => 7,1,5
471 => 1,1,5
472 => 5,0,5
473 => 7,0,5
474 => 2,0,5
475 => 7,0,5
476 => 1,0,5
477 => 3,0,5
478 => 6,0,5
479 => 3,0,5
480 => 4,1,5
481 => 4,1,5
482 => 2,1,5
483 => 7,1,5
484 => 5,1,5
485 => 3,1,5
486 => 1,1,5
487 => 5,1,5
488 => 4,3,5
489 => 4,3,5
490 => 2,3,5
491 => 7,3,5
492 => 1,3,5
493 => 3,3,5
494 => 0,3,5
495 => 7,3,5
496 => 4,2,5
497 => 5,2,5
498 => 2,2,5
499 => 7,2,5
500 => 5,2,5
501 => 3,2,5
502 => 3,2,5
503 => 1,2,5
504 => 4,3,5
505 => 5,3,5
506 => 2,3,5
507 => 7,3,5
508 => 1,3,5
509 => 3,3,5
510 => 2,3,5
511 => 3,3,5
512 => 3,1,3,2
513 => 2,1,3,2
514 => 5,1,3,2
515 => 0,1,3,2
516 => 5,1,3,2
517 => 3,1,3,2
518 => 5,1,3,2
519 => 5,1,3,2
520 => 3,6,3,2
521 => 2,6,3,2
522 => 5,6,3,2
523 => 0,6,3,2
524 => 1,6,3,2
525 => 3,6,3,2
526 => 4,6,3,2
527 => 7,6,3,2
528 => 3,1,3,2
529 => 3,1,3,2
530 => 5,1,3,2
531 => 0,1,3,2
532 => 5,1,3,2
533 => 3,1,3,2
534 => 7,1,3,2
535 => 1,1,3,2
536 => 3,1,3,2
537 => 3,1,3,2
538 => 5,1,3,2
539 => 0,1,3,2
540 => 1,1,3,2
541 => 3,1,3,2
542 => 6,1,3,2
543 => 3,1,3,2
544 => 2,5,3,2
545 => 0,5,3,2
546 => 5,5,3,2
547 => 0,5,3,2
548 => 5,5,3,2
549 => 3,5,3,2
550 => 1,5,3,2
551 => 5,5,3,2
552 => 2,3,3,2
553 => 0,3,3,2
554 => 5,3,3,2
555 => 0,3,3,2
556 => 1,3,3,2
557 => 3,3,3,2
558 => 0,3,3,2
559 => 7,3,3,2
560 => 2,5,3,2
561 => 1,5,3,2
562 => 5,5,3,2
563 => 0,5,3,2
564 => 5,5,3,2
565 => 3,5,3,2
566 => 3,5,3,2
567 => 1,5,3,2
568 => 2,5,3,2
569 => 1,5,3,2
570 => 5,5,3,2
571 => 0,5,3,2
572 => 1,5,3,2
573 => 3,5,3,2
574 => 2,5,3,2
575 => 3,5,3,2
576 => 1,1,2,2
577 => 6,1,2,2
578 => 5,1,2,2
579 => 1,1,2,2
580 => 5,1,2,2
581 => 3,1,2,2
582 => 5,1,2,2
583 => 5,1,2,2
584 => 1,6,2,2
585 => 6,6,2,2
586 => 5,6,2,2
587 => 1,6,2,2
588 => 1,6,2,2
589 => 3,6,2,2
590 => 4,6,2,2
591 => 7,6,2,2
592 => 1,1,2,2
593 => 7,1,2,2
594 => 5,1,2,2
595 => 1,1,2,2
596 => 5,1,2,2
597 => 3,1,2,2
598 => 7,1,2,2
599 => 1,1,2,2
600 => 1,1,2,2
601 => 7,1,2,2
602 => 5,1,2,2
603 => 1,1,2,2
604 => 1,1,2,2
605 => 3,1,2,2
606 => 6,1,2,2
607 => 3,1,2,2
608 => 0,1,2,2
609 => 4,1,2,2
610 => 5,1,2,2
611 => 1,1,2,2
612 => 5,1,2,2
613 => 3,1,2,2
614 => 1,1,2,2
615 => 5,1,2,2
616 => 0,3,2,2
617 => 4,3,2,2
618 => 5,3,2,2
619 => 1,3,2,2
620 => 1,3,2,2
621 => 3,3,2,2
622 => 0,3,2,2
623 => 7,3,2,2
624 => 0,4,2,2
625 => 5,4,2,2
626 => 5,4,2,2
627 => 1,4,2,2
628 => 5,4,2,2
629 => 3,4,2,2
630 => 3,4,2,2
631 => 1,4,2,2
632 => 0,7,2,2
633 => 5,7,2,2
634 => 5,7,2,2
635 => 1,7,2,2
636 => 1,7,2,2
637 => 3,7,2,2
638 => 2,7,2,2
639 => 3,7,2,2
640 => 7,1,1,2
641 => 2,1,1,2
642 => 4,1,1,2
643 => 2,1,1,2
644 => 5,1,1,2
645 => 3,1,1,2
646 => 5,1,1,2
647 => 5,1,1,2
648 => 7,7,1,2
649 => 2,7,1,2
650 => 4,7,1,2
651 => 2,7,1,2
652 => 1,7,1,2
653 => 3,7,1,2
654 => 4,7,1,2
655 => 7,7,1,2
656 => 7,1,1,2
657 => 3,1,1,2
658 => 4,1,1,2
659 => 2,1,1,2
660 => 5,1,1,2
661 => 3,1,1,2
662 => 7,1,1,2
663 => 1,1,1,2
664 => 7,1,1,2
665 => 3,1,1,2
666 => 4,1,1,2
667 => 2,1,1,2
668 => 1,1,1,2
669 => 3,1,1,2
670 => 6,1,1,2
671 => 3,1,1,2
672 => 6,5,1,2
673 => 0,5,1,2
674 => 4,5,1,2
675 => 2,5,1,2
676 => 5,5,1,2
677 => 3,5,1,2
678 => 1,5,1,2
679 => 5,5,1,2
680 => 6,3,1,2
681 => 0,3,1,2
682 => 4,3,1,2
683 => 2,3,1,2
684 => 1,3,1,2
685 => 3,3,1,2
686 => 0,3,1,2
687 => 7,3,1,2
688 => 6,7,1,2
689 => 1,7,1,2
690 => 4,7,1,2
691 => 2,7,1,2
692 => 5,7,1,2
693 => 3,7,1,2
694 => 3,7,1,2
695 => 1,7,1,2
696 => 6,1,1,2
697 => 1,1,1,2
698 => 4,1,1,2
699 => 2,1,1,2
700 => 1,1,1,2
701 => 3,1,1,2
702 => 2,1,1,2
703 => 3,1,1,2
704 => 5,1,0,2
705 => 6,1,0,2
706 => 4,1,0,2
707 => 3,1,0,2
708 => 5,1,0,2
709 => 3,1,0,2
710 => 5,1,0,2
711 => 5,1,0,2
712 => 5,7,0,2
713 => 6,7,0,2
714 => 4,7,0,2
715 => 3,7,0,2
716 => 1,7,0,2
717 => 3,7,0,2
718 => 4,7,0,2
719 => 7,7,0,2
720 => 5,1,0,2
721 => 7,1,0,2
722 => 4,1,0,2
723 => 3,1,0,2
724 => 5,1,0,2
725 => 3,1,0,2
726 => 7,1,0,2
727 => 1,1,0,2
728 => 5,1,0,2
729 => 7,1,0,2
730 => 4,1,0,2
731 => 3,1,0,2
732 => 1,1,0,2
733 => 3,1,0,2
734 => 6,1,0,2
735 => 3,1,0,2
736 => 4,1,0,2
737 => 4,1,0,2
738 => 4,1,0,2
739 => 3,1,0,2
740 => 5,1,0,2
741 => 3,1,0,2
742 => 1,1,0,2
743 => 5,1,0,2
744 => 4,3,0,2
745 => 4,3,0,2
746 => 4,3,0,2
747 => 3,3,0,2
748 => 1,3,0,2
749 => 3,3,0,2
750 => 0,3,0,2
751 => 7,3,0,2
752 => 4,6,0,2
753 => 5,6,0,2
754 => 4,6,0,2
755 => 3,6,0,2
756 => 5,6,0,2
757 => 3,6,0,2
758 => 3,6,0,2
759 => 1,6,0,2
760 => 4,3,0,2
761 => 5,3,0,2
762 => 4,3,0,2
763 => 3,3,0,2
764 => 1,3,0,2
765 => 3,3,0,2
766 => 2,3,0,2
767 => 3,3,0,2
768 => 3,0,1,2
769 => 2,0,1,2
770 => 7,0,1,2
771 => 4,0,1,2
772 => 5,0,1,2
773 => 3,0,1,2
774 => 5,0,1,2
775 => 5,0,1,2
776 => 3,4,1,2
777 => 2,4,1,2
778 => 7,4,1,2
779 => 4,4,1,2
780 => 1,4,1,2
781 => 3,4,1,2
782 => 4,4,1,2
783 => 7,4,1,2
784 => 3,1,1,2
785 => 3,1,1,2
786 => 7,1,1,2
787 => 4,1,1,2
788 => 5,1,1,2
789 => 3,1,1,2
790 => 7,1,1,2
791 => 1,1,1,2
792 => 3,1,1,2
793 => 3,1,1,2
794 => 7,1,1,2
795 => 4,1,1,2
796 => 1,1,1,2
797 => 3,1,1,2
798 => 6,1,1,2
799 => 3,1,1,2
800 => 2,5,1,2
801 => 0,5,1,2
802 => 7,5,1,2
803 => 4,5,1,2
804 => 5,5,1,2
805 => 3,5,1,2
806 => 1,5,1,2
807 => 5,5,1,2
808 => 2,3,1,2
809 => 0,3,1,2
810 => 7,3,1,2
811 => 4,3,1,2
812 => 1,3,1,2
813 => 3,3,1,2
814 => 0,3,1,2
815 => 7,3,1,2
816 => 2,1,1,2
817 => 1,1,1,2
818 => 7,1,1,2
819 => 4,1,1,2
820 => 5,1,1,2
821 => 3,1,1,2
822 => 3,1,1,2
823 => 1,1,1,2
824 => 2,5,1,2
825 => 1,5,1,2
826 => 7,5,1,2
827 => 4,5,1,2
828 => 1,5,1,2
829 => 3,5,1,2
830 => 2,5,1,2
831 => 3,5,1,2
832 => 1,0,3,2
833 => 6,0,3,2
834 => 7,0,3,2
835 => 5,0,3,2
836 => 5,0,3,2
837 => 3,0,3,2
838 => 5,0,3,2
839 => 5,0,3,2
840 => 1,4,3,2
841 => 6,4,3,2
842 => 7,4,3,2
843 => 5,4,3,2
844 => 1,4,3,2
845 => 3,4,3,2
846 => 4,4,3,2
847 => 7,4,3,2
848 => 1,1,3,2
849 => 7,1,3,2
850 => 7,1,3,2
851 => 5,1,3,2
852 => 5,1,3,2
853 => 3,1,3,2
854 => 7,1,3,2
855 => 1,1,3,2
856 => 1,1,3,2
857 => 7,1,3,2
858 => 7,1,3,2
859 => 5,1,3,2
860 => 1,1,3,2
861 => 3,1,3,2
862 => 6,1,3,2
863 => 3,1,3,2
864 => 0,1,3,2
865 => 4,1,3,2
866 => 7,1,3,2
867 => 5,1,3,2
868 => 5,1,3,2
869 => 3,1,3,2
870 => 1,1,3,2
871 => 5,1,3,2
872 => 0,3,3,2
873 => 4,3,3,2
874 => 7,3,3,2
875 => 5,3,3,2
876 => 1,3,3,2
877 => 3,3,3,2
878 => 0,3,3,2
879 => 7,3,3,2
880 => 0,0,3,2
881 => 5,0,3,2
882 => 7,0,3,2
883 => 5,0,3,2
884 => 5,0,3,2
885 => 3,0,3,2
886 => 3,0,3,2
887 => 1,0,3,2
888 => 0,7,3,2
889 => 5,7,3,2
890 => 7,7,3,2
891 => 5,7,3,2
892 => 1,7,3,2
893 => 3,7,3,2
894 => 2,7,3,2
895 => 3,7,3,2
896 => 7,0,4,2
897 => 2,0,4,2
898 => 6,0,4,2
899 => 6,0,4,2
900 => 5,0,4,2
901 => 3,0,4,2
902 => 5,0,4,2
903 => 5,0,4,2
904 => 7,5,4,2
905 => 2,5,4,2
906 => 6,5,4,2
907 => 6,5,4,2
908 => 1,5,4,2
909 => 3,5,4,2
910 => 4,5,4,2
911 => 7,5,4,2
912 => 7,1,4,2
913 => 3,1,4,2
914 => 6,1,4,2
915 => 6,1,4,2
916 => 5,1,4,2
917 => 3,1,4,2
918 => 7,1,4,2
919 => 1,1,4,2
920 => 7,1,4,2
921 => 3,1,4,2
922 => 6,1,4,2
923 => 6,1,4,2
924 => 1,1,4,2
925 => 3,1,4,2
926 => 6,1,4,2
927 => 3,1,4,2
928 => 6,5,4,2
929 => 0,5,4,2
930 => 6,5,4,2
931 => 6,5,4,2
932 => 5,5,4,2
933 => 3,5,4,2
934 => 1,5,4,2
935 => 5,5,4,2
936 => 6,3,4,2
937 => 0,3,4,2
938 => 6,3,4,2
939 => 6,3,4,2
940 => 1,3,4,2
941 => 3,3,4,2
942 => 0,3,4,2
943 => 7,3,4,2
944 => 6,3,4,2
945 => 1,3,4,2
946 => 6,3,4,2
947 => 6,3,4,2
948 => 5,3,4,2
949 => 3,3,4,2
950 => 3,3,4,2
951 => 1,3,4,2
952 => 6,1,4,2
953 => 1,1,4,2
954 => 6,1,4,2
955 => 6,1,4,2
956 => 1,1,4,2
957 => 3,1,4,2
958 => 2,1,4,2
959 => 3,1,4,2
960 => 5,0,7,2
961 => 6,0,7,2
962 => 6,0,7,2
963 => 7,0,7,2
964 => 5,0,7,2
965 => 3,0,7,2
966 => 5,0,7,2
967 => 5,0,7,2
968 => 5,5,7,2
969 => 6,5,7,2
970 => 6,5,7,2
971 => 7,5,7,2
972 => 1,5,7,2
973 => 3,5,7,2
974 => 4,5,7,2
975 => 7,5,7,2
976 => 5,1,7,2
977 => 7,1,7,2
978 => 6,1,7,2
979 => 7,1,7,2
980 => 5,1,7,2
981 => 3,1,7,2
982 => 7,1,7,2
983 => 1,1,7,2
984 => 5,1,7,2
985 => 7,1,7,2
986 => 6,1,7,2
987 => 7,1,7,2
988 => 1,1,7,2
989 => 3,1,7,2
990 => 6,1,7,2
991 => 3,1,7,2
992 => 4,1,7,2
993 => 4,1,7,2
994 => 6,1,7,2
995 => 7,1,7,2
996 => 5,1,7,2
997 => 3,1,7,2
998 => 1,1,7,2
999 => 5,1,7,2
1000 => 4,3,7,2
