PART ONE: 5,7,3,0
4477 => 7,5,0,1,0
4478 => 7,5,0,1,0
4479 => 7,5,0,1,0
4480 => 0,6,0,1,0
4481 => 0,6,0,1,0
4482 => 0,6,0,1,0
4483 => 0,6,0,1,0
4484 => 0,6,0,1,0
4485 => 0,6,0,1,0
4486 => 0,6,0,1,0
4487 => 0,6,0,1,0
4488 => 1,6,0,1,0
4489 => 1,6,0,1,0
4490 => 1,6,0,1,0
4491 => 1,6,0,1,0
4492 => 1,6,0,1,0
4493 => 1,6,0,1,0
4494 => 1,6,0,1,0
4495 => 1,6,0,1,0
4496 => 2,6,0,1,0
4497 => 2,6,0,1,0
4498 => 2,6,0,1,0
4499 => 2,6,0,1,0
4500 => 2,6,0,1,0
4501 => 2,6,0,1,0
4502 => 2,6,0,1,0
4503 => 2,6,0,1,0
4504 => 3,6,0,1,0
4505 => 3,6,0,1,0
4506 => 3,6,0,1,0
4507 => 3,6,0,1,0
4508 => 3,6,0,1,0
4509 => 3,6,0,1,0
4510 => 3,6,0,1,0
4511 => 3,6,0,1,0
4512 => 4,6,0,1,0
4513 => 4,6,0,1,0
4514 => 4,6,0,1,0
4515 => 4,6,0,1,0
4516 => 4,6,0,1,0
4517 => 4,6,0,1,0
4518 => 4,6,0,1,0
4519 => 4,6,0,1,0
4520 => 5,6,0,1,0
4521 => 5,6,0,1,0
4522 => 5,6,0,1,0
4523 => 5,6,0,1,0
4524 => 5,6,0,1,0
4525 => 5,6,0,1,0
4526 => 5,6,0,1,0
4527 => 5,6,0,1,0
4528 => 6,6,0,1,0
4529 => 6,6,0,1,0
4530 => 6,6,0,1,0
4531 => 6,6,0,1,0
4532 => 6,6,0,1,0
4533 => 6,6,0,1,0
4534 => 6,6,0,1,0
4535 => 6,6,0,1,0
4536 => 7,6,0,1,0
4537 => 7,6,0,1,0
4538 => 7,6,0,1,0
4539 => 7,6,0,1,0
4540 => 7,6,0,1,0
4541 => 7,6,0,1,0
4542 => 7,6,0,1,0
4543 => 7,6,0,1,0
4544 => 0,7,0,1,0
4545 => 0,7,0,1,0
4546 => 0,7,0,1,0
4547 => 0,7,0,1,0
4548 => 0,7,0,1,0
4549 => 0,7,0,1,0
4550 => 0,7,0,1,0
4551 => 0,7,0,1,0
4552 => 1,7,0,1,0
4553 => 1,7,0,1,0
4554 => 1,7,0,1,0
4555 => 1,7,0,1,0
4556 => 1,7,0,1,0
4557 => 1,7,0,1,0
4558 => 1,7,0,1,0
4559 => 1,7,0,1,0
4560 => 2,7,0,1,0
4561 => 2,7,0,1,0
4562 => 2,7,0,1,0
4563 => 2,7,0,1,0
4564 => 2,7,0,1,0
4565 => 2,7,0,1,0
4566 => 2,7,0,1,0
4567 => 2,7,0,1,0
4568 => 3,7,0,1,0
4569 => 3,7,0,1,0
4570 => 3,7,0,1,0
4571 => 3,7,0,1,0
4572 => 3,7,0,1,0
4573 => 3,7,0,1,0
4574 => 3,7,0,1,0
4575 => 3,7,0,1,0
4576 => 4,7,0,1,0
4577 => 4,7,0,1,0
4578 => 4,7,0,1,0
4579 => 4,7,0,1,0
4580 => 4,7,0,1,0
4581 => 4,7,0,1,0
4582 => 4,7,0,1,0
4583 => 4,7,0,1,0
4584 => 5,7,0,1,0
4585 => 5,7,0,1,0
4586 => 5,7,0,1,0
4587 => 5,7,0,1,0
4588 => 5,7,0,1,0
4589 => 5,7,0,1,0
4590 => 5,7,0,1,0
4591 => 5,7,0,1,0
4592 => 6,7,0,1,0
4593 => 6,7,0,1,0
4594 => 6,7,0,1,0
4595 => 6,7,0,1,0
4596 => 6,7,0,1,0
4597 => 6,7,0,1,0
4598 => 6,7,0,1,0
4599 => 6,7,0,1,0
4600 => 7,7,0,1,0
4601 => 7,7,0,1,0
4602 => 7,7,0,1,0
4603 => 7,7,0,1,0
4604 => 7,7,0,1,0
4605 => 7,7,0,1,0
4606 => 7,7,0,1,0
4607 => 7,7,0,1,0
4608 => 0,0,1,1,0
4609 => 0,0,1,1,0
4610 => 0,0,1,1,0
4611 => 0,0,1,1,0
4612 => 0,0,1,1,0
4613 => 0,0,1,1,0
4614 => 0,0,1,1,0
4615 => 0,0,1,1,0
4616 => 1,0,1,1,0
4617 => 1,0,1,1,0
4618 => 1,0,1,1,0
4619 => 1,0,1,1,0
4620 => 1,0,1,1,0
4621 => 1,0,1,1,0
4622 => 1,0,1,1,0
4623 => 1,0,1,1,0
4624 => 2,0,1,1,0
4625 => 2,0,1,1,0
4626 => 2,0,1,1,0
4627 => 2,0,1,1,0
4628 => 2,0,1,1,0
4629 => 2,0,1,1,0
4630 => 2,0,1,1,0
4631 => 2,0,1,1,0
4632 => 3,0,1,1,0
4633 => 3,0,1,1,0
4634 => 3,0,1,1,0
4635 => 3,0,1,1,0
4636 => 3,0,1,1,0
4637 => 3,0,1,1,0
4638 => 3,0,1,1,0
4639 => 3,0,1,1,0
4640 => 4,0,1,1,0
4641 => 4,0,1,1,0
4642 => 4,0,1,1,0
4643 => 4,0,1,1,0
4644 => 4,0,1,1,0
4645 => 4,0,1,1,0
4646 => 4,0,1,1,0
4647 => 4,0,1,1,0
4648 => 5,0,1,1,0
4649 => 5,0,1,1,0
4650 => 5,0,1,1,0
4651 => 5,0,1,1,0
4652 => 5,0,1,1,0
4653 => 5,0,1,1,0
4654 => 5,0,1,1,0
4655 => 5,0,1,1,0
4656 => 6,0,1,1,0
4657 => 6,0,1,1,0
4658 => 6,0,1,1,0
4659 => 6,0,1,1,0
4660 => 6,0,1,1,0
4661 => 6,0,1,1,0
4662 => 6,0,1,1,0
4663 => 6,0,1,1,0
4664 => 7,0,1,1,0
4665 => 7,0,1,1,0
4666 => 7,0,1,1,0
4667 => 7,0,1,1,0
4668 => 7,0,1,1,0
4669 => 7,0,1,1,0
4670 => 7,0,1,1,0
4671 => 7,0,1,1,0
4672 => 0,1,1,1,0
4673 => 0,1,1,1,0
4674 => 0,1,1,1,0
4675 => 0,1,1,1,0
4676 => 0,1,1,1,0
4677 => 0,1,1,1,0
4678 => 0,1,1,1,0
4679 => 0,1,1,1,0
4680 => 1,1,1,1,0
4681 => 1,1,1,1,0
4682 => 1,1,1,1,0
4683 => 1,1,1,1,0
4684 => 1,1,1,1,0
4685 => 1,1,1,1,0
4686 => 1,1,1,1,0
4687 => 1,1,1,1,0
4688 => 2,1,1,1,0
4689 => 2,1,1,1,0
4690 => 2,1,1,1,0
4691 => 2,1,1,1,0
4692 => 2,1,1,1,0
4693 => 2,1,1,1,0
4694 => 2,1,1,1,0
4695 => 2,1,1,1,0
4696 => 3,1,1,1,0
4697 => 3,1,1,1,0
4698 => 3,1,1,1,0
4699 => 3,1,1,1,0
4700 => 3,1,1,1,0
4701 => 3,1,1,1,0
4702 => 3,1,1,1,0
4703 => 3,1,1,1,0
4704 => 4,1,1,1,0
4705 => 4,1,1,1,0
4706 => 4,1,1,1,0
4707 => 4,1,1,1,0
4708 => 4,1,1,1,0
4709 => 4,1,1,1,0
4710 => 4,1,1,1,0
4711 => 4,1,1,1,0
4712 => 5,1,1,1,0
4713 => 5,1,1,1,0
4714 => 5,1,1,1,0
4715 => 5,1,1,1,0
4716 => 5,1,1,1,0
4717 => 5,1,1,1,0
4718 => 5,1,1,1,0
4719 => 5,1,1,1,0
4720 => 6,1,1,1,0
4721 => 6,1,1,1,0
4722 => 6,1,1,1,0
4723 => 6,1,1,1,0
4724 => 6,1,1,1,0
4725 => 6,1,1,1,0
4726 => 6,1,1,1,0
4727 => 6,1,1,1,0
4728 => 7,1,1,1,0
4729 => 7,1,1,1,0
4730 => 7,1,1,1,0
4731 => 7,1,1,1,0
4732 => 7,1,1,1,0
4733 => 7,1,1,1,0
4734 => 7,1,1,1,0
4735 => 7,1,1,1,0
4736 => 0,2,1,1,0
4737 => 0,2,1,1,0
4738 => 0,2,1,1,0
4739 => 0,2,1,1,0
4740 => 0,2,1,1,0
4741 => 0,2,1,1,0
4742 => 0,2,1,1,0
4743 => 0,2,1,1,0
4744 => 1,2,1,1,0
4745 => 1,2,1,1,0
4746 => 1,2,1,1,0
4747 => 1,2,1,1,0
4748 => 1,2,1,1,0
4749 => 1,2,1,1,0
4750 => 1,2,1,1,0
4751 => 1,2,1,1,0
4752 => 2,2,1,1,0
4753 => 2,2,1,1,0
4754 => 2,2,1,1,0
4755 => 2,2,1,1,0
4756 => 2,2,1,1,0
4757 => 2,2,1,1,0
4758 => 2,2,1,1,0
4759 => 2,2,1,1,0
4760 => 3,2,1,1,0
4761 => 3,2,1,1,0
4762 => 3,2,1,1,0
4763 => 3,2,1,1,0
4764 => 3,2,1,1,0
4765 => 3,2,1,1,0
4766 => 3,2,1,1,0
4767 => 3,2,1,1,0
4768 => 4,2,1,1,0
4769 => 4,2,1,1,0
4770 => 4,2,1,1,0
4771 => 4,2,1,1,0
4772 => 4,2,1,1,0
4773 => 4,2,1,1,0
4774 => 4,2,1,1,0
4775 => 4,2,1,1,0
4776 => 5,2,1,1,0
4777 => 5,2,1,1,0
4778 => 5,2,1,1,0
4779 => 5,2,1,1,0
4780 => 5,2,1,1,0
4781 => 5,2,1,1,0
4782 => 5,2,1,1,0
4783 => 5,2,1,1,0
4784 => 6,2,1,1,0
4785 => 6,2,1,1,0
4786 => 6,2,1,1,0
4787 => 6,2,1,1,0
4788 => 6,2,1,1,0
4789 => 6,2,1,1,0
4790 => 6,2,1,1,0
4791 => 6,2,1,1,0
4792 => 7,2,1,1,0
4793 => 7,2,1,1,0
4794 => 7,2,1,1,0
4795 => 7,2,1,1,0
4796 => 7,2,1,1,0
4797 => 7,2,1,1,0
4798 => 7,2,1,1,0
4799 => 7,2,1,1,0
4800 => 0,3,1,1,0
4801 => 0,3,1,1,0
4802 => 0,3,1,1,0
4803 => 0,3,1,1,0
4804 => 0,3,1,1,0
4805 => 0,3,1,1,0
4806 => 0,3,1,1,0
4807 => 0,3,1,1,0
4808 => 1,3,1,1,0
4809 => 1,3,1,1,0
4810 => 1,3,1,1,0
4811 => 1,3,1,1,0
4812 => 1,3,1,1,0
4813 => 1,3,1,1,0
4814 => 1,3,1,1,0
4815 => 1,3,1,1,0
4816 => 2,3,1,1,0
4817 => 2,3,1,1,0
4818 => 2,3,1,1,0
4819 => 2,3,1,1,0
4820 => 2,3,1,1,0
4821 => 2,3,1,1,0
4822 => 2,3,1,1,0
4823 => 2,3,1,1,0
4824 => 3,3,1,1,0
4825 => 3,3,1,1,0
4826 => 3,3,1,1,0
4827 => 3,3,1,1,0
4828 => 3,3,1,1,0
4829 => 3,3,1,1,0
4830 => 3,3,1,1,0
4831 => 3,3,1,1,0
4832 => 4,3,1,1,0
4833 => 4,3,1,1,0
4834 => 4,3,1,1,0
4835 => 4,3,1,1,0
4836 => 4,3,1,1,0
4837 => 4,3,1,1,0
4838 => 4,3,1,1,0
4839 => 4,3,1,1,0
4840 => 5,3,1,1,0
4841 => 5,3,1,1,0
4842 => 5,3,1,1,0
4843 => 5,3,1,1,0
4844 => 5,3,1,1,0
4845 => 5,3,1,1,0
4846 => 5,3,1,1,0
4847 => 5,3,1,1,0
4848 => 6,3,1,1,0
4849 => 6,3,1,1,0
4850 => 6,3,1,1,0
4851 => 6,3,1,1,0
4852 => 6,3,1,1,0
4853 => 6,3,1,1,0
4854 => 6,3,1,1,0
4855 => 6,3,1,1,0
4856 => 7,3,1,1,0
4857 => 7,3,1,1,0
4858 => 7,3,1,1,0
4859 => 7,3,1,1,0
4860 => 7,3,1,1,0
4861 => 7,3,1,1,0
4862 => 7,3,1,1,0
4863 => 7,3,1,1,0
4864 => 0,4,1,1,0
4865 => 0,4,1,1,0
4866 => 0,4,1,1,0
4867 => 0,4,1,1,0
4868 => 0,4,1,1,0
4869 => 0,4,1,1,0
4870 => 0,4,1,1,0
4871 => 0,4,1,1,0
4872 => 1,4,1,1,0
4873 => 1,4,1,1,0
4874 => 1,4,1,1,0
4875 => 1,4,1,1,0
4876 => 1,4,1,1,0
4877 => 1,4,1,1,0
4878 => 1,4,1,1,0
4879 => 1,4,1,1,0
4880 => 2,4,1,1,0
4881 => 2,4,1,1,0
4882 => 2,4,1,1,0
4883 => 2,4,1,1,0
4884 => 2,4,1,1,0
4885 => 2,4,1,1,0
4886 => 2,4,1,1,0
4887 => 2,4,1,1,0
4888 => 3,4,1,1,0
4889 => 3,4,1,1,0
4890 => 3,4,1,1,0
4891 => 3,4,1,1,0
4892 => 3,4,1,1,0
4893 => 3,4,1,1,0
4894 => 3,4,1,1,0
4895 => 3,4,1,1,0
4896 => 4,4,1,1,0
4897 => 4,4,1,1,0
4898 => 4,4,1,1,0
4899 => 4,4,1,1,0
4900 => 4,4,1,1,0
4901 => 4,4,1,1,0
4902 => 4,4,1,1,0
4903 => 4,4,1,1,0
4904 => 5,4,1,1,0
4905 => 5,4,1,1,0
4906 => 5,4,1,1,0
4907 => 5,4,1,1,0
4908 => 5,4,1,1,0
4909 => 5,4,1,1,0
4910 => 5,4,1,1,0
4911 => 5,4,1,1,0
4912 => 6,4,1,1,0
4913 => 6,4,1,1,0
4914 => 6,4,1,1,0
4915 => 6,4,1,1,0
4916 => 6,4,1,1,0
4917 => 6,4,1,1,0
4918 => 6,4,1,1,0
4919 => 6,4,1,1,0
4920 => 7,4,1,1,0
4921 => 7,4,1,1,0
4922 => 7,4,1,1,0
4923 => 7,4,1,1,0
4924 => 7,4,1,1,0
4925 => 7,4,1,1,0
4926 => 7,4,1,1,0
4927 => 7,4,1,1,0
4928 => 0,5,1,1,0
4929 => 0,5,1,1,0
4930 => 0,5,1,1,0
4931 => 0,5,1,1,0
4932 => 0,5,1,1,0
4933 => 0,5,1,1,0
4934 => 0,5,1,1,0
4935 => 0,5,1,1,0
4936 => 1,5,1,1,0
4937 => 1,5,1,1,0
4938 => 1,5,1,1,0
4939 => 1,5,1,1,0
4940 => 1,5,1,1,0
4941 => 1,5,1,1,0
4942 => 1,5,1,1,0
4943 => 1,5,1,1,0
